序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4211,600583,海油工程,5.4,-0.37,-0.02,181464.0,98560081.0,1.48,5.47,5.39,5.4,5.42,0.99,0.41,11.04,0.92,23875315920.0,23875315920.0,0.0,-0.18,0.93,-1.28
4212,601963,重庆银行,10.7,-0.37,-0.04,85207.0,91934363.0,3.17,10.98,10.64,10.64,10.74,1.45,0.45,5.72,0.69,37177965586.0,20109497054.0,0.0,-0.09,21.45,17.45
4213,601827,三峰环境,8.17,-0.37,-0.03,18997.0,15590514.0,1.46,8.28,8.16,8.21,8.2,1.02,0.11,11.69,1.22,13659695061.0,13659695061.0,-0.12,0.0,2.25,-4.78
4214,601808,中海油服,13.29,-0.37,-0.05,36353.0,48374792.0,0.75,13.36,13.26,13.31,13.34,0.55,0.12,17.87,1.42,63414457680.0,39344619720.0,0.0,0.0,-11.81,-12.85
4215,688597,煜邦电力,10.78,-0.37,-0.04,37618.0,40475226.0,2.68,10.9,10.61,10.9,10.82,1.12,1.52,123.82,3.31,2663752920.0,2663752920.0,-0.19,-0.09,4.05,10.79
4216,002298,中电鑫龙,5.37,-0.37,-0.02,1180017.0,659155504.77,10.95,5.93,5.34,5.92,5.39,8.01,18.05,23.54,1.93,3974395538.0,3510183284.0,-0.37,0.0,12.58,0.94
4217,601975,招商南油,2.69,-0.37,-0.01,259973.0,70251844.0,1.11,2.72,2.69,2.7,2.7,0.81,0.54,11.35,1.16,12916993038.0,12916993038.0,-0.37,-0.37,-15.14,-14.06
4218,600763,通策医疗,39.96,-0.37,-0.15,36192.0,145126988.0,1.4,40.35,39.79,39.93,40.11,0.72,0.81,24.29,4.25,17873673115.0,17873673115.0,-0.03,0.08,-3.8,-10.0
4219,002438,江苏神通,10.87,-0.37,-0.04,72096.0,78255647.5,1.83,10.95,10.75,10.8,10.91,0.96,1.54,15.41,1.53,5516932201.0,5096732850.0,0.28,0.37,-13.73,-10.9
4220,600831,ST广网,2.65,-0.38,-0.01,61471.0,16473954.0,2.63,2.72,2.65,2.66,2.66,1.7,0.86,-1.78,0.91,1884009529.0,1884009529.0,-0.38,0.0,4.74,3.92
4221,002112,三变科技,13.12,-0.38,-0.05,108785.0,142736112.72,4.33,13.34,12.77,12.78,13.17,1.99,4.15,45.81,5.09,3438489600.0,3438489600.0,-0.15,-0.08,3.14,17.14
4222,600269,赣粤高速,5.24,-0.38,-0.02,104442.0,55197359.0,2.28,5.35,5.23,5.26,5.26,1.22,0.45,7.15,0.64,12237532753.0,12237532753.0,0.0,-0.19,-0.19,-6.6
4223,601066,中信建投,23.45,-0.38,-0.09,73360.0,173599573.0,2.0,23.9,23.43,23.53,23.54,2.5,0.11,25.18,2.37,181894492990.0,152323485771.0,0.04,0.0,-3.62,-8.93
4224,601881,中国银河,15.83,-0.38,-0.06,178347.0,282731847.0,0.82,15.93,15.8,15.86,15.89,0.69,0.25,17.26,1.56,173091587712.0,114663300972.0,-0.06,0.0,11.24,3.94
4225,001267,汇绿生态,7.88,-0.38,-0.03,33185.0,26205794.18,2.15,7.99,7.82,7.91,7.91,0.43,0.58,77.44,3.88,6143022853.0,4529655065.0,0.0,0.0,-19.26,3.14
4226,603712,七一二,18.33,-0.38,-0.07,59472.0,107788617.0,3.04,18.45,17.89,18.08,18.4,1.16,0.77,-65.49,3.27,14150760000.0,14150760000.0,-0.27,-0.05,12.04,-5.86
4227,301522,上大股份,31.14,-0.38,-0.12,11326.0,35452202.12,1.41,31.54,31.1,31.26,31.26,0.8,1.52,127.44,6.3,11579928010.0,2315985621.0,0.13,0.06,-9.21,-14.4
4228,603162,海通发展,7.82,-0.38,-0.03,23609.0,18444285.0,1.02,7.85,7.77,7.81,7.85,0.6,0.86,26.49,1.73,7165841266.0,2135450379.0,0.13,0.13,-11.54,-14.07
4229,601106,中国一重,2.63,-0.38,-0.01,210450.0,55276019.0,2.27,2.66,2.6,2.62,2.64,1.14,0.31,-73.93,2.04,18035969098.0,18035969098.0,0.0,0.0,-1.5,-9.62
4230,000831,中国稀土,31.51,-0.38,-0.12,99694.0,313070441.2,1.99,31.68,31.05,31.51,31.63,0.88,0.94,115.12,7.09,33439067629.0,33439067629.0,0.06,0.06,11.54,12.34
4231,300925,法本信息,20.89,-0.38,-0.08,54382.0,113276922.33,3.24,21.1,20.42,21.0,20.97,1.13,1.65,81.4,4.16,8955729861.0,6905787226.0,-0.05,0.1,-13.61,-6.24
4232,000795,英洛华,10.55,-0.38,-0.04,89995.0,94479265.55,1.7,10.58,10.4,10.53,10.59,0.59,0.79,43.45,4.34,11960367287.0,11960367287.0,-0.09,0.29,-9.75,8.43
4233,600666,奥瑞德,2.6,-0.38,-0.01,314772.0,81724989.0,3.45,2.63,2.54,2.58,2.61,1.21,1.3,-215.59,8.65,7185133392.0,6291357631.0,0.0,0.0,17.65,2.36
4234,600170,上海建工,2.57,-0.39,-0.01,698243.0,179530212.0,1.55,2.59,2.55,2.59,2.58,1.14,0.79,10.54,0.73,22836865142.0,22836865142.0,0.39,0.39,4.05,-3.02
4235,000782,恒申新材,5.06,-0.39,-0.02,34897.0,17741205.5,1.57,5.12,5.04,5.05,5.08,0.5,0.66,708.06,1.95,3474102436.0,2672386492.0,-0.2,-0.2,18.78,10.96
4236,601328,交通银行,7.58,-0.39,-0.03,476386.0,361890989.0,1.18,7.65,7.56,7.6,7.61,1.0,0.12,6.01,0.59,562911467969.0,297521549234.0,-0.13,-0.13,8.75,2.57
4237,688281,华秦科技,72.29,-0.39,-0.28,5186.0,37555749.0,1.43,72.97,71.93,72.23,72.57,0.65,0.43,56.16,3.05,14074381476.0,8796488576.0,-0.03,-0.01,-12.91,-22.25
4238,301165,锐捷网络,73.74,-0.39,-0.29,42614.0,313212476.7,2.28,74.38,72.69,73.29,74.03,1.24,6.25,97.64,8.92,41897727259.0,5027727259.0,0.12,0.12,2.47,2.13
4239,600845,宝信软件,25.71,-0.39,-0.1,63605.0,163041813.0,1.39,25.81,25.45,25.68,25.81,1.07,0.3,41.69,6.16,74142597189.0,54855043812.0,0.0,0.04,-12.82,-12.13
4240,600030,中信证券,25.03,-0.4,-0.1,232169.0,582345524.0,0.76,25.2,25.01,25.14,25.13,0.9,0.19,17.09,1.41,370958287130.0,304779070879.0,0.0,0.04,-9.11,-14.19
4241,000717,中南股份,2.49,-0.4,-0.01,201194.0,50810170.41,3.6,2.57,2.48,2.48,2.5,1.41,0.83,-11.4,0.78,6035375519.0,6034605175.0,-0.8,-0.4,0.4,-8.46
4242,001400,C江顺科,56.73,-0.4,-0.23,18350.0,104428047.17,2.18,57.44,56.2,56.37,56.96,0.45,12.23,21.98,2.82,3403800000.0,850950000.0,-0.04,0.05,51.85,51.85
4243,600690,海尔智家,24.86,-0.4,-0.1,124543.0,309089178.0,1.04,24.97,24.71,24.92,24.96,0.74,0.2,12.45,2.09,233259225483.0,155486897222.0,0.0,0.04,-9.76,-12.68
4244,600461,洪城环境,9.97,-0.4,-0.04,51761.0,51604553.0,1.3,10.04,9.91,9.98,10.01,1.38,0.4,10.76,1.37,12802939389.0,12802939389.0,-0.2,-0.2,3.96,0.2
4245,600732,爱旭股份,10.06,-0.4,-0.04,231775.0,235892862.0,4.16,10.39,9.97,10.12,10.1,1.39,1.45,-4.87,3.01,18385833720.0,16080379265.0,0.2,0.2,-6.07,-8.71
4246,000920,沃顿科技,10.02,-0.4,-0.04,65276.0,65273501.52,2.19,10.13,9.91,10.09,10.06,0.68,1.55,26.64,2.49,4735663602.0,4228214550.0,0.1,0.2,18.16,12.33
4247,000524,岭南控股,12.03,-0.41,-0.05,148414.0,177581659.0,2.07,12.08,11.83,11.84,12.08,0.83,2.22,75.83,3.52,8062609422.0,8060101612.0,0.08,0.17,26.77,24.28
4248,688082,盛美上海,100.9,-0.41,-0.42,5977.0,60030899.0,2.0,101.35,99.32,100.75,101.32,1.13,0.14,38.61,5.72,44526280869.0,44003250282.0,0.09,0.3,0.0,0.9
4249,601598,中国外运,4.85,-0.41,-0.02,59308.0,28844354.0,0.62,4.88,4.85,4.87,4.87,0.58,0.11,9.03,0.89,35376951844.0,25491196844.0,0.0,0.0,-7.97,-9.35
4250,601677,明泰铝业,12.12,-0.41,-0.05,47212.0,57380815.0,0.99,12.22,12.1,12.17,12.17,0.47,0.4,8.57,0.85,15073692807.0,14453003367.0,0.08,0.08,-2.02,1.17
4251,603055,台华新材,9.61,-0.41,-0.04,43225.0,41471097.0,3.32,9.79,9.47,9.77,9.65,1.2,0.49,13.11,1.68,8555712203.0,8509199803.0,0.0,-0.1,-9.25,-13.27
4252,603806,福斯特,12.24,-0.41,-0.05,96631.0,118679327.0,1.63,12.4,12.2,12.25,12.29,0.99,0.37,19.9,1.96,31930934589.0,31930934589.0,0.08,0.08,-15.35,-17.3
4253,601398,工商银行,7.26,-0.41,-0.03,1297120.0,943684803.0,1.23,7.33,7.24,7.3,7.29,0.91,0.05,7.07,0.71,2587509426466.0,1957384663033.0,-0.14,-0.14,8.85,7.08
4254,600064,南京高科,7.29,-0.41,-0.03,84501.0,61870968.0,1.37,7.38,7.28,7.36,7.32,0.8,0.49,4.56,0.65,12614176005.0,12614176005.0,0.0,0.0,-1.22,-6.18
4255,002371,北方华创,452.57,-0.41,-1.85,13413.0,606008983.38,1.43,455.01,448.52,454.0,454.42,0.73,0.25,38.23,7.4,241751717331.0,241542969419.0,0.08,0.12,19.28,15.75
4256,002353,杰瑞股份,31.2,-0.41,-0.13,33332.0,104022987.0,1.6,31.5,31.0,31.22,31.33,0.48,0.48,17.15,1.47,31944301990.0,21629209368.0,0.1,0.19,-21.37,-15.65
4257,300175,ST朗源,4.76,-0.42,-0.02,30946.0,14659779.0,3.14,4.8,4.65,4.72,4.78,0.94,0.66,-144.46,4.32,2241008000.0,2241008000.0,0.0,0.0,-9.16,-13.77
4258,000012,南  玻Ａ,4.78,-0.42,-0.02,45673.0,21842487.35,0.63,4.8,4.77,4.79,4.8,1.1,0.23,231.22,1.08,14677908271.0,9365297823.0,0.21,0.21,-3.43,-9.47
4259,300569,天能重工,4.74,-0.42,-0.02,183382.0,87216130.0,1.89,4.8,4.71,4.76,4.76,0.64,1.8,26.52,0.94,4847607745.0,4823636414.0,-0.21,0.21,5.33,-4.82
4260,000166,申万宏源,4.7,-0.42,-0.02,204238.0,96482660.43,1.06,4.75,4.7,4.72,4.72,0.87,0.09,22.59,1.12,117687739432.0,105916884385.0,0.0,0.0,-7.66,-12.15
4261,000088,盐 田 港,4.59,-0.43,-0.02,49377.0,22703473.84,1.08,4.62,4.57,4.61,4.61,1.17,0.22,19.07,1.31,23865628558.0,10323531821.0,0.0,-0.22,-1.92,-5.75
4262,000538,云南白药,57.66,-0.43,-0.25,41399.0,238749357.12,1.38,58.22,57.42,57.91,57.91,1.12,0.23,13.29,2.66,102880581689.0,102213607827.0,-0.03,-0.07,0.54,-3.82
4263,605111,新洁能,30.37,-0.43,-0.13,42368.0,128612136.0,1.44,30.6,30.16,30.38,30.5,1.2,1.02,29.13,3.11,12613650060.0,12613650060.0,-0.03,0.0,-7.41,-10.44
